Question,Options,Correct Option,CourtEasy-v1 Response,Evaluation,Comments (Optional)
 The concept of freedom of trade and commerce mentioned in the Indian Constitution is motivated from the experience of the following country?,"Options:
A. America
B. Australia
C. Ireland
D. United Kingdom",B,"The concept of freedom of trade and commerce in the Indian Constitution, specifically enshrined in Articles 301 to 307, was primarily motivated by the experience of Australia. The framers of the Indian Constitution drew inspiration from Section 92 of the Australian Constitution, which deals with the freedom of trade, commerce, and intercourse among the states. During the drafting process, the Constituent Assembly referred to the Australian model to ensure that trade and commerce within the territory of India would be free, preventing barriers between states and promoting economic unity.

Therefore, the correct option is:  
B. Australia",Correct,
 Which of the following writ is issued to enforce the performance of public duties by the authority?,"Options:
A. Mandamus
B. Quo warranto
C. Certiorari
D. Prohibition",A,"The correct answer is (A) Mandamus.

In Indian constitutional law, the writ of Mandamus is issued by a court to direct a public authority or government official to perform a public duty that they are legally obligated to perform but have failed or refused to do so. The power to issue writs, including Mandamus, is provided under Article 32 and Article 226 of the Constitution of India.

Mandamus literally means ""we command."" It is used to enforce the performance of public duties by authorities, including statutory, public, or quasi-public bodies. The writ cannot be issued to private individuals or to enforce private rights, but only to compel the performance of duties of a public nature.

Relevant case law: In the case of Praga Tools Corporation v. C.A. Imanual (1969), the Supreme Court held that Mandamus can be issued against any public authority or person who is under a legal duty to perform a public function.

The other writs mentioned serve different purposes:
- Quo Warranto: Issued to prevent a person from holding a public office to which they are not entitled.
- Certiorari: Issued to quash the order of a lower court or tribunal.
- Prohibition: Issued to prevent a lower court or tribunal from exceeding its jurisdiction.

Therefore, the writ issued to enforce the performance of public duties by the authority is Mandamus.",Correct,
 Which of the following Constitutional Amendment Act had made the provision for publishing Hindi Translation of the Constitution?,"Options:
A. 52nd Amendment
B. 54th Amendment
C. 56th Amendment
D. 58th Amendment",D,"The provision for publishing the Hindi translation of the Constitution was made by the Constitution (Fifty-eighth Amendment) Act, 1987. Therefore, the correct answer is D. 58th Amendment.",Correct,
 Which of the following is the landmark judgment on the Colourable legislation?,"Options:
A. State of Bihar v Kameshwar Singh
B. M. Karunanidhi v Union of India
C. State of Karnataka v Union of India
D. Keshavan Madhava Menon v State of Bombay",A,"The landmark judgment on the doctrine of Colourable Legislation is State of Bihar v Kameshwar Singh. In this case, the Supreme Court of India elaborated on the doctrine, which states that what cannot be done directly cannot also be done indirectly. The doctrine is used to examine whether a legislature, while acting within its powers, has transgressed constitutional limitations in a disguised manner. The Court held that if the legislature lacks the power to legislate on a particular subject, it cannot do so by camouflaging the legislation under a different subject within its competence.

Correct option: A. State of Bihar v Kameshwar Singh",Correct,
 Which of the following Constitutional Amendment Act was passed in light of the advisory opinion received in Re Berubari case?,"Options:
A. The Constitution (Fourth Amendment) Act, 1955
B. The Constitution (Seventh Amendment) Act, 1956
C. The Constitution (Ninth Amendment) Act, 1960
D. The Constitution (Eleventh Amendment) Act, 1961",C,"The Constitutional Amendment Act that was passed in light of the advisory opinion received in the Re Berubari case is the Ninth Constitutional Amendment Act, 1960.

Detailed Explanation:

In the Re Berubari Union and Exchange of Enclaves (Advisory Opinion), AIR 1960 SC 845, the Supreme Court of India was asked for its opinion regarding the implementation of the Indo-Pakistan Agreement (Nehru-Noon Agreement) for the exchange of certain territories (Berubari Union and exchange of enclaves) between India and Pakistan. The main question was whether the Government of India could cede Indian territory to Pakistan by executive action alone or whether a constitutional amendment was required.

The Supreme Court held that the Parliament of India could not cede any part of Indian territory to a foreign country by a simple executive order or even by ordinary legislation. Such cession would require a constitutional amendment under Article 368 of the Constitution of India.

In response to this advisory opinion, the Parliament enacted the Ninth Constitutional Amendment Act, 1960. This amendment specifically enabled the transfer of the Berubari Union and certain enclaves to Pakistan by amending the First Schedule of the Constitution, which defines the territory of India.

Therefore, the correct answer is: The Ninth Constitutional Amendment Act, 1960 was passed in light of the Supreme Court’s advisory opinion in the Re Berubari case. This amendment was necessary to give effect to the Indo-Pakistan Agreement regarding the transfer of territory, as mandated by the Supreme Court’s interpretation of the Constitution.",Correct,
 Which of the following provision of the Constitution of India is relevant for solving questions of repugnancy between a Central law and a State law?,"Options:
A. Article 248
B. Article 252
C. Article 254
D. Article 256",C,"The provision of the Constitution of India that is relevant for resolving questions of repugnancy between a Central law and a State law is Article 254. 

Article 254 deals specifically with situations where a State law is inconsistent with a law made by Parliament on a subject in the Concurrent List. According to Article 254(1), if any provision of a law made by the Legislature of a State is repugnant to any provision of a law made by Parliament, the law made by Parliament shall prevail, and the State law shall, to the extent of the repugnancy, be void. However, Article 254(2) provides that if a State law, which is inconsistent with a previous Central law, has received the President’s assent, it will prevail in that State, unless Parliament enacts a law overriding it.

Therefore, the correct option is: Article 254.",Correct,
 What transition period was provided in the Constitution of India for changing official language of Union from English to Hindi?,"Options:
A. 5 years
B. 10 years
C. 15 years
D. 25 years",C,"The Constitution of India provided a transition period of 15 years for changing the official language of the Union from English to Hindi. According to Article 343 of the Constitution, Hindi in Devanagari script was to be the official language of the Union, but for a period of fifteen years from the commencement of the Constitution, English would continue to be used for all official purposes of the Union. Therefore, the correct option is:

C. 15 years",Correct,
 In which of the following case it was held that there could be no reservation on single post in the cadre?,"Options:
A. Chakradhar Paswan v State of Bihar
B. K.C. Vasanth Kumar v State of Karnataka
C. A.B.S.K. Sangh (Rly) v Union of India
D. State of Kerala v N.M. Thomas",A,"The correct answer is: A. Chakradhar Paswan v State of Bihar.

In Chakradhar Paswan v State of Bihar, the Supreme Court held that there could be no reservation for Scheduled Castes, Scheduled Tribes, or Other Backward Classes in a single post cadre. The Court reasoned that if reservation is applied to a single post, it would amount to 100% reservation, which is unconstitutional and violates the principle of equality under Article 16(1) of the Constitution of India. The Court emphasized that reservation policies are meant to provide fair representation, but not to the extent of completely excluding other candidates from consideration for a single post.

The other cases mentioned do not specifically address the issue of reservation in a single post cadre:

- K.C. Vasanth Kumar v State of Karnataka dealt with the criteria for identifying backward classes.
- A.B.S.K. Sangh (Rly) v Union of India discussed matters related to service conditions and union activities.
- State of Kerala v N.M. Thomas addressed the validity of reservation in promotions.

Therefore, Chakradhar Paswan v State of Bihar is the leading case on the prohibition of reservation in a single post cadre.",Correct,
 Sexual harassment of a working woman at her place of work may also be considered as the violation of which of the following provision of the Constitution of India?,"Options:
A. Article 19(1)(b)
B. Article 19(1)(d)
C. Article 19(1)(e)
D. Article 19(1)(g)",D,"Sexual harassment of a working woman at her place of work is considered a violation of Article 19(1)(g) of the Constitution of India. Article 19(1)(g) guarantees to all citizens the right to practise any profession, or to carry on any occupation, trade or business. When a woman is subjected to sexual harassment at her workplace, it directly impedes her right to work in a safe environment and thus violates her fundamental right under Article 19(1)(g).

The Supreme Court in Vishaka & Ors. v. State of Rajasthan (1997) recognized that sexual harassment at the workplace violates not only Article 19(1)(g) but also Article 21 (right to life and personal liberty) and Article 14 (right to equality). The Court laid down guidelines to prevent sexual harassment at the workplace, which later formed the basis for the enactment of the Sexual Harassment of Women at Workplace (Prevention, Prohibition, and Redressal) Act, 2013 (POSH Act).

The POSH Act was enacted to provide protection against sexual harassment of women at the workplace and for the prevention and redressal of complaints of sexual harassment. The Act recognizes that a safe working environment is a fundamental right of a woman and is essential for her to exercise her right to work under Article 19(1)(g).

Therefore, the correct option is:

D. Article 19(1)(g)

In summary, sexual harassment at the workplace violates Article 19(1)(g) of the Constitution, as recognized by the Supreme Court and codified through the POSH Act, 2013.",Correct,
 Which of the following doctrine has been applied to resolve the conflict between Article 25(2)(b) and 26(b) of the Constitution of India?,"Options:
A. Doctrine of Harmonious construction
B. Doctrine of Casus Omissus
C. Doctrine of Liberal interpretation
D. Doctrine of Pith and substance",A,"The conflict between Article 25(2)(b) and Article 26(b) of the Constitution of India has been resolved by applying the Doctrine of Harmonious Construction.

Article 25(2)(b) empowers the State to make laws for social welfare and reform, or for throwing open Hindu religious institutions of a public character to all classes and sections of Hindus. Article 26(b) gives every religious denomination the right to manage its own affairs in matters of religion.

When these two provisions appear to be in conflict—such as when a law made under Article 25(2)(b) seems to interfere with the rights under Article 26(b)—the courts have used the Doctrine of Harmonious Construction to interpret them in a way that both provisions are given effect as far as possible, without rendering either of them redundant.

The Supreme Court in the case of The Durgah Committee, Ajmer v. Syed Hussain Ali (1961) and Sri Venkataramana Devaru v. State of Mysore (1958) applied the Doctrine of Harmonious Construction to resolve the apparent conflict. The Court held that while Article 26(b) protects the right of religious denominations to manage their own affairs in matters of religion, this right is subject to the State’s power under Article 25(2)(b) to make laws for social welfare and reform.

Therefore, the correct option is:
A. Doctrine of Harmonious Construction

This doctrine ensures that both Articles 25(2)(b) and 26(b) are interpreted in a manner that upholds the spirit and purpose of the Constitution, giving effect to both fundamental rights as far as possible.",Correct,
" In which of the following situations Indian Penal Code, 1860 may not apply? i. An offence committed by Indians outside India. ii. An offence committed by any person on any ship registered in India. iii. Any person committing offence targeting computer resources located in any country.","Options:
A. Only i
B. Only ii
C. Only iii
D. Only i & ii",C,"The Indian Penal Code, 1860 (IPC) primarily applies to offences committed within the territory of India. However, there are certain provisions regarding its extraterritorial application:

i. An offence committed by Indians outside India: Section 4 of the IPC provides that the Code applies to any offence committed by a citizen of India outside and beyond India. Therefore, the IPC does apply to offences committed by Indians outside India.

ii. An offence committed by any person on any ship registered in India: Section 4 also states that the IPC applies to any offence committed by any person on any ship or aircraft registered in India, wherever it may be. So, the IPC does apply in this situation.

iii. Any person committing offence targeting computer resources located in any country: The IPC does not have extraterritorial jurisdiction over offences targeting computer resources located outside India, unless the offender is an Indian citizen or the act is committed on an Indian registered ship or aircraft. Therefore, the IPC does not generally apply to offences committed by any person targeting computer resources located in any country (other than India), unless the specific conditions of Section 4 are met.

Correct option: iii. Any person committing offence targeting computer resources located in any country. 

This is the situation where the IPC does not apply, unless the offender is an Indian citizen or the act is committed on an Indian registered ship or aircraft.",Correct,Withdrawn
" How many types of punishment are currently existing under the Indian Penal Code, 1860?","Options:
A. 3
B. 4
C. 5
D. 6",C,"There are five types of punishments prescribed under the Indian Penal Code, 1860. Section 53 of the IPC specifically lists these punishments as follows:

1. Death
2. Imprisonment for life
3. Imprisonment, which is of two descriptions: (a) Rigorous (with hard labour), (b) Simple
4. Forfeiture of property
5. Fine

Therefore, the correct option is: C. 5",Correct,
" A and Z agree to fence with each other for amusement. In the course of such fencing, while playing fairly, A hurts Z severely. Which of the following offence is committed by A?","Options:
A. Hurt
B. Attempt to murder
C. Grievous hurt
D. No offence",D,"When A and Z agree to fence with each other for amusement, and A, while playing fairly, hurts Z severely, the situation involves the concept of consent under the Indian Penal Code (IPC).

Section 87 of the IPC states that an act not intended and not known to be likely to cause death or grievous hurt, done by consent, is not an offence. If both parties consent to the act (in this case, fencing for amusement), and the act is done in good faith and without any intention to cause grievous hurt or death, then it is not considered an offence, even if hurt is caused.

However, if the injury caused amounts to ""grievous hurt"" as defined under Section 320 of the IPC, and the act was likely to cause such grievous hurt, then the protection of consent may not apply, especially if the act was not done in good faith or exceeded the scope of what was consented to.

In this scenario, since both A and Z agreed to fence for amusement and the injury occurred while playing fairly (implying no malice or intention to cause serious harm), and assuming the act was not likely to cause death or grievous hurt, A would not be guilty of any offence.

Correct Option: D. No offence

Detailed Reasoning:
- Section 87, IPC: Provides that acts not intended and not known to be likely to cause death or grievous hurt, done by consent, are not offences.
- Since the fencing was for amusement, with mutual consent, and the injury was caused while playing fairly, A is protected under Section 87.
- If the injury was grievous and the act was likely to cause such injury, then A could be liable. But the facts state it was done fairly and for amusement, so the exception applies.

Therefore, A has not committed any offence under the IPC in this situation.",Correct,
 In which of the following situations right of private defence can not extend to causing death?,"Options:
A. In case when an assault is causing apprehension of murder.
B. In case when assault is reflecting intention of committing rape.
C. In case when assault is reflecting intention of causing simple hurt.
D. In case when assault is reflecting intention of gratifying unnatural lust.",C,"The right of private defence in India is governed by Sections 96 to 106 of the Indian Penal Code (IPC). Section 100 of the IPC specifically deals with the circumstances under which the right of private defence of the body extends to causing death.

According to Section 100 IPC, the right of private defence of the body extends to causing death only in the following situations:

1. Assault causing reasonable apprehension of death.
2. Assault causing reasonable apprehension of grievous hurt.
3. Assault with the intention of committing rape.
4. Assault with the intention of gratifying unnatural lust.
5. Assault with the intention of kidnapping or abducting.
6. Assault with the intention of wrongfully confining a person under circumstances which may reasonably cause apprehension that he will not be able to have recourse to the public authorities for his release.

Now, let us examine the options:

A. In case when an assault is causing apprehension of murder.  
This is covered under Section 100 IPC. The right of private defence extends to causing death.

B. In case when assault is reflecting intention of committing rape.  
This is also covered under Section 100 IPC. The right of private defence extends to causing death.

C. In case when assault is reflecting intention of causing simple hurt.  
Section 100 IPC does NOT extend the right of private defence to causing death in cases of simple hurt. The right to cause death arises only in cases of grievous hurt, not simple hurt.

D. In case when assault is reflecting intention of gratifying unnatural lust.  
This is covered under Section 100 IPC. The right of private defence extends to causing death.

Therefore, the correct answer is:

C. In case when assault is reflecting intention of causing simple hurt.

In such a situation, the right of private defence does not extend to causing death, as per Section 100 of the Indian Penal Code. The right to cause death arises only in more serious cases as specified in the section.",Correct,
" For which of the following Section of the Indian Penal Code, 1860 the word benefit does not include pecuniary benefits?","Options:
A. Section 89
B. Section 155
C. Section 156
D. Section 370",A,"The word 'benefit' does not include pecuniary benefits in the context of Section 88, 89, and 92 of the Indian Penal Code, 1860. Therefore, the correct answer to your query is Section 89",Correct,
